feature,coefficient,absolute_coefficient
Aerosols,-1.542959925216279,1.542959925216279
TSI,0.09518161645282923,0.09518161645282923
MEI,0.06446516647060985,0.06446516647060985
N2O,-0.016307849619598552,0.016307849619598552
Year,0.008239648924070106,0.008239648924070106
CFC-11,-0.006274287146309631,0.006274287146309631
Month,-0.0036123081141462903,0.0036123081141462903
CFC-12,0.003426524700599702,0.003426524700599702
CO2,0.0025113909684226733,0.0025113909684226733
CH4,0.00018717344337640038,0.00018717344337640038
